valor,hora,dia_semana,categoria,is_fraude
807.18,23,5,B,0
977.85,6,6,A,0
286.44,8,3,A,0
278.47,0,6,C,0
640.38,22,0,A,0
419.89,4,2,A,0
484.22,6,0,A,0
635.45,5,6,B,0
882.93,13,2,B,0
164.99,16,3,B,0
188.37,0,4,B,0
39.48,6,6,D,0
345.37,18,5,A,0
14.64,5,0,D,0
250.64,14,1,A,0
312.92,11,4,C,0
135.05,15,1,A,0
357.45,6,3,B,0
12.39,15,3,A,0
15.23,3,0,C,0
691.74,4,2,A,0
178.63,5,0,C,0
54.36,7,6,A,0
295.46,7,2,C,0
587.86,14,1,D,0
97.25,18,0,A,0
390.09,0,0,B,0
35.68,0,1,A,0
21.23,6,3,B,0
303.16,0,2,B,0
311.16,17,5,A,0
405.81,19,0,C,0
517.98,9,5,D,1
1489.42,22,3,A,1
290.52,18,6,A,0
156.01,12,1,A,0
634.26,14,5,C,0
126.34,2,3,A,0
231.19,3,1,C,0
32.68,10,2,A,0
10.27,17,3,A,0
1314.95,17,0,A,0
723.11,11,5,D,1
476.26,12,2,B,0
210.34,18,4,A,0
76.12,11,4,A,1
68.05,18,6,B,0
115.2,19,0,D,0
318.72,6,2,A,0
501.54,2,1,A,0
431.76,8,2,A,0
131.36,17,5,A,0
1239.24,2,6,A,1
535.61,20,0,A,0
323.29,3,2,B,0
378.41,17,5,B,0
217.62,12,0,D,0
113.86,9,3,C,0
176.01,9,5,B,0
567.27,13,4,A,0
5.8,6,5,D,0
49.35,21,5,B,0
18.84,12,0,B,0
16.63,9,0,A,0
773.68,17,0,C,0
486.5,0,3,B,0
257.11,8,6,A,0
41.18,5,2,C,0
270.61,10,3,B,0
256.58,9,5,B,0
76.08,22,2,A,0
227.56,12,6,A,0
203.33,20,1,A,0
382.69,8,3,A,0
403.25,7,6,C,0
18.54,17,5,B,0
187.75,18,5,B,0
393.25,4,6,A,0
279.78,22,4,C,0
776.54,14,2,A,0
429.99,19,5,C,0
71.14,8,4,A,0
29.27,1,3,B,0
411.36,10,1,B,0
10.75,15,0,C,0
352.54,6,2,B,0
1126.9,3,5,C,1
342.71,17,6,D,0
196.52,11,5,A,0
412.33,7,4,B,0
245.18,11,0,C,0
315.53,12,5,A,0
1135.25,11,1,C,0
195.17,19,3,A,0
1299.64,17,2,B,0
943.03,17,3,B,0
87.16,5,3,A,0
28.75,19,2,A,0
42.49,16,0,A,0
7.36,2,3,C,0
39.68,23,1,B,0
459.55,20,2,B,1
29.54,3,0,A,0
153.66,14,4,A,0
745.41,20,0,A,0
9.42,16,0,D,0
673.81,3,2,B,0
132.43,6,4,B,0
50.3,19,5,A,0
477.26,14,2,D,0
396.56,17,5,B,0
839.77,4,1,C,0
531.32,10,5,D,1
650.8,11,6,B,0
132.53,12,4,A,0
78.13,21,0,A,0
555.5,23,0,C,0
657.68,15,4,A,0
1862.8,23,0,B,1
212.83,5,4,A,0
186.1,18,5,D,0
599.18,6,2,B,0
166.69,5,5,D,0
1068.06,17,5,B,0
781.94,0,3,A,0
224.14,22,3,D,0
555.91,6,3,B,0
561.85,10,0,A,0
43.54,8,4,C,0
931.38,22,4,C,0
281.48,1,3,B,0
700.53,19,3,B,0
154.29,4,0,B,0
903.52,7,0,C,0
197.2,5,4,B,0
4.36,5,6,A,0
943.16,21,2,A,0
38.29,5,4,B,0
153.86,3,4,C,0
1198.79,21,3,A,0
1203.18,10,1,A,0
340.8,17,2,C,0
399.69,8,5,C,0
238.01,14,1,B,0
138.81,23,2,C,0
159.39,8,0,C,0
446.53,18,0,C,0
558.34,12,6,B,0
627.28,2,0,D,0
623.53,23,5,B,0
38.25,13,4,A,0
272.82,4,0,A,0
23.71,22,4,C,0
318.98,11,6,B,0
233.02,20,4,D,0
874.65,7,4,D,1
172.88,15,1,D,0
49.8,9,1,A,0
61.72,23,5,B,0
573.37,16,3,D,1
385.16,21,4,A,0
42.64,19,5,B,0
35.14,0,6,D,0
482.88,23,6,A,0
30.22,20,3,A,0
690.07,15,1,A,0
490.0,13,4,A,0
33.94,12,5,A,0
35.46,16,3,A,0
1726.18,17,3,A,1
187.54,10,2,A,0
185.22,11,4,A,0
670.23,6,0,A,0
1176.87,10,4,A,0
1707.51,8,6,A,1
559.96,5,1,A,0
188.81,19,3,B,0
34.88,18,0,A,0
600.5,16,2,B,0
326.94,14,6,A,0
220.81,3,2,B,0
947.3,18,5,A,0
47.15,14,4,C,0
271.4,2,5,A,0
4.57,1,3,C,0
252.94,9,5,C,0
23.18,13,2,B,0
50.6,17,5,A,0
50.01,18,5,C,0
419.03,12,1,A,0
548.24,22,4,A,0
350.22,10,3,B,0
1309.89,18,2,B,0
187.92,0,5,C,0
134.59,20,5,B,0
811.8,23,3,A,0
101.23,23,0,B,0
1321.15,20,4,B,0
4.89,23,2,A,0
1401.01,19,3,B,0
17.65,18,5,B,0
887.09,17,4,B,0
300.06,5,2,A,0
1982.73,7,3,C,0
30.66,7,0,D,0
322.84,21,6,B,0
1393.43,15,4,A,0
296.18,22,6,B,0
397.05,11,5,B,0
475.96,1,4,A,0
242.45,20,6,B,0
395.07,19,1,D,0
351.13,17,4,D,0
925.69,23,0,D,0
18.6,22,3,C,0
131.94,20,0,A,0
1201.6,15,1,A,0
883.87,12,5,C,0
243.27,20,2,C,0
387.17,6,2,B,0
129.95,15,3,B,0
83.36,4,2,A,0
249.22,20,6,B,0
174.38,16,0,C,0
350.5,16,3,A,0
32.37,3,3,A,0
1465.98,13,4,A,1
1713.55,20,4,A,0
479.15,1,0,A,0
307.23,20,2,D,0
148.15,16,3,B,0
672.36,19,3,A,0
461.73,2,6,D,0
70.99,23,1,A,0
967.32,13,3,B,0
691.6,15,2,A,0
1196.7,19,1,A,0
517.44,7,2,D,0
380.16,17,5,B,0
216.68,16,1,A,0
1079.61,16,0,B,0
804.16,19,2,A,0
18.51,3,5,A,0
10.69,22,5,A,0
188.94,17,2,C,0
665.46,11,2,B,0
1745.71,1,0,B,1
65.2,17,6,A,0
360.69,0,1,C,0
191.79,2,3,C,0
1401.48,20,1,C,0
738.37,17,1,A,0
728.88,2,0,B,0
252.97,22,5,A,0
214.33,22,3,C,0
127.76,14,6,A,0
23.21,22,4,A,0
800.17,11,5,C,0
670.45,0,1,A,0
3268.98,12,5,C,1
2277.95,22,5,B,1
324.26,19,5,A,0
586.11,6,1,C,0
1158.47,12,1,A,0
757.91,19,6,B,0
113.66,21,3,C,0
239.53,4,2,D,0
55.32,2,2,B,0
1232.09,14,1,C,0
372.74,0,5,A,0
103.84,4,3,B,0
445.53,16,5,A,0
385.07,3,1,C,0
177.37,18,5,B,0
48.22,2,2,A,0
445.38,10,1,B,0
293.84,3,3,C,0
591.92,8,2,B,0
293.72,15,6,A,0
764.71,2,5,B,0
321.1,6,4,A,0
329.25,11,0,B,0
837.1,22,2,A,0
206.66,6,6,C,0
57.56,18,0,C,0
11.68,19,4,D,0
562.82,10,4,C,0
387.36,8,1,A,0
487.07,14,0,D,0
95.79,2,1,A,0
58.65,5,5,A,0
5.86,9,2,B,0
172.67,18,2,B,0
356.56,9,0,A,0
199.19,8,2,B,0
230.13,13,6,A,0
938.02,8,4,B,0
171.24,4,0,A,0
288.61,14,4,C,0
612.35,18,6,B,0
202.03,14,2,B,0
389.24,15,5,D,0
793.26,17,1,C,0
1194.48,17,3,A,0
63.63,13,4,D,0
1044.67,20,4,A,0
271.0,18,1,B,0
119.49,12,0,A,0
245.83,22,6,A,0
1565.46,0,6,A,0
271.4,21,2,B,0
159.45,4,3,A,0
401.39,3,4,A,0
109.85,12,6,A,0
31.56,14,3,C,0
55.19,7,4,B,0
54.81,11,3,B,0
65.9,18,4,B,0
59.78,11,6,A,0
409.63,12,4,A,0
80.3,11,5,B,0
169.66,5,0,A,0
908.39,8,2,C,0
256.95,20,4,B,0
440.52,17,1,A,0
75.65,20,1,C,0
85.42,11,2,A,0
16.69,17,3,C,0
74.02,5,4,A,0
130.62,2,3,D,0
77.92,12,2,B,0
37.15,5,0,A,0
51.42,11,1,C,0
247.05,6,2,D,0
92.44,20,0,C,0
181.19,21,4,A,0
280.0,3,5,B,0
468.98,11,3,B,1
16.04,21,4,A,0
642.6,6,1,C,0
395.44,10,5,D,0
34.12,11,5,D,0
827.25,8,5,C,0
1014.68,18,6,A,0
25.21,18,3,B,0
129.67,0,2,B,0
656.37,12,5,B,0
551.74,11,4,A,0
81.59,20,4,B,0
93.96,21,1,A,0
185.11,2,0,B,0
265.07,9,4,D,0
385.2,22,1,B,0
184.13,13,2,C,0
248.36,8,4,D,0
550.49,12,4,C,0
14.95,22,4,C,0
116.37,11,2,A,0
499.8,17,3,A,0
902.31,12,3,B,0
286.71,0,2,C,0
303.81,16,4,C,0
45.34,18,1,C,0
237.26,8,0,B,0
304.24,12,6,A,0
111.08,16,1,A,0
125.47,16,5,B,0
189.47,8,2,C,0
8.11,11,4,A,0
155.49,7,6,A,0
95.02,8,1,A,0
158.7,6,5,A,0
51.03,14,6,C,0
884.83,1,3,D,0
360.16,2,4,D,0
454.65,20,0,B,0
622.68,3,4,B,0
276.01,8,0,B,0
36.37,18,1,C,0
308.1,21,2,A,0
353.57,7,2,C,0
547.29,13,2,A,0
226.01,4,4,C,0
54.59,22,5,B,0
133.5,5,6,A,0
180.45,21,4,D,0
415.29,8,6,C,0
338.31,2,1,A,0
176.08,0,6,A,0
1722.48,21,4,D,1
372.33,12,2,A,0
108.32,3,1,D,0
42.94,18,2,D,0
66.36,3,3,D,0
112.92,4,0,B,0
70.07,19,0,D,0
82.6,2,1,B,0
134.24,14,6,C,0
76.16,17,4,C,0
908.3,0,1,C,0
33.45,19,4,A,0
297.36,22,1,D,0
211.32,1,4,C,0
1615.46,21,0,B,0
47.53,21,0,A,0
202.9,7,5,B,0
1395.62,8,0,B,0
802.5,2,2,A,0
679.47,10,5,A,0
119.31,18,1,A,0
74.96,12,5,B,0
441.82,21,0,B,0
1060.15,6,6,A,0
325.46,22,5,B,0
339.09,12,1,A,0
131.39,10,4,D,0
586.99,2,1,A,0
82.83,23,1,A,0
156.44,2,5,A,0
221.66,15,5,A,0
283.39,17,3,C,0
111.05,22,5,A,0
48.79,12,0,B,0
377.28,1,4,C,0
136.23,11,1,C,0
348.18,10,2,A,0
67.07,17,0,B,0
262.45,20,1,D,0
304.22,19,6,C,0
21.29,1,6,A,0
164.15,6,1,D,0
57.74,17,1,C,0
26.19,14,6,B,0
1840.48,10,0,B,0
155.65,19,0,A,0
664.03,5,4,B,0
117.56,13,6,A,0
457.66,9,2,C,0
571.23,8,6,B,0
362.18,15,3,A,0
255.14,22,2,C,0
212.3,20,4,D,0
171.62,23,1,B,0
1061.02,19,1,B,0
710.24,18,5,A,0
1341.27,0,3,C,1
53.09,5,2,A,0
525.02,7,0,D,1
1114.45,14,3,A,0
79.98,16,1,C,0
27.52,5,6,A,0
540.56,3,0,A,0
341.77,7,0,C,0
737.63,12,6,D,1
60.22,7,6,B,0
634.42,2,4,B,0
90.07,20,3,A,0
71.49,4,0,B,0
71.78,0,3,A,0
674.04,12,6,A,0
437.69,9,0,A,0
296.15,2,1,D,0
177.78,19,3,D,0
838.88,0,6,A,1
199.33,22,2,B,0
678.43,17,2,B,0
231.31,15,1,C,0
189.25,13,2,A,0
248.46,2,1,A,0
143.46,7,0,B,0
550.71,5,2,A,0
279.44,0,6,C,0
105.7,0,6,B,0
919.34,1,0,A,0
193.73,5,0,D,0
313.71,7,0,B,0
947.8,0,4,A,0
391.52,11,3,A,0
49.73,4,1,A,0
1124.25,3,4,C,1
395.23,4,1,B,0
163.13,1,0,A,0
59.99,0,2,B,0
632.0,2,4,B,0
387.11,23,2,D,0
304.97,9,1,B,0
897.32,14,2,A,0
621.6,5,1,B,0
65.8,18,3,B,0
149.43,14,4,D,0
114.27,21,2,B,0
544.95,5,5,A,0
13.64,16,2,D,0
337.49,22,0,A,0
574.97,23,3,C,0
837.47,10,0,A,0
167.47,18,5,B,0
688.72,19,4,B,0
46.9,22,5,A,0
749.5,14,6,A,0
54.55,9,4,D,0
202.53,15,3,B,0
638.4,22,1,B,0
64.97,21,2,B,0
104.16,19,0,C,0
512.42,18,2,A,0
509.24,17,5,D,0
409.94,19,6,C,0
473.6,23,4,B,0
312.99,0,6,A,0
116.03,1,1,A,0
169.67,1,5,B,0
80.16,4,3,B,0
956.35,1,0,B,0
350.24,8,2,A,0
204.9,16,1,D,0
247.96,6,2,B,0
1177.13,13,5,C,0
66.59,6,2,A,0
352.98,8,0,C,0
282.0,20,6,B,0
378.14,20,6,C,0
7.31,13,5,A,0
822.68,9,4,A,0
1076.0,16,0,A,0
333.09,20,5,C,0
477.15,15,5,B,0
1022.99,22,2,A,1
491.36,7,2,B,0
66.2,0,1,A,0
343.48,1,3,B,0
373.29,23,2,D,0
220.75,18,4,C,0
533.4,14,1,A,0
1089.47,16,6,C,0
1039.15,23,4,A,1
239.75,17,5,A,0
48.07,19,0,A,0
1675.67,3,3,C,1
730.29,13,0,A,0
53.26,19,4,C,0
1014.52,5,4,B,1
815.77,10,1,D,0
292.62,14,2,C,0
357.89,4,4,A,0
203.67,3,2,D,0
22.53,6,5,D,0
163.31,6,4,B,0
649.52,7,0,C,0
1.86,2,5,C,0
162.29,2,4,A,0
203.11,4,2,A,0
308.35,3,0,B,0
1009.57,17,2,A,0
170.07,10,5,B,0
170.44,3,1,B,0
535.0,3,3,C,0
240.75,11,6,B,0
101.75,17,4,A,0
240.91,8,4,B,0
60.73,12,0,D,0
77.62,19,4,C,0
275.96,14,1,A,0
217.15,10,4,B,0
985.32,8,6,B,0
180.01,17,1,A,0
347.56,9,3,C,0
400.16,5,4,C,0
5.27,3,0,D,0
435.71,5,1,B,0
78.42,8,5,B,0
1298.4,9,0,A,0
64.38,17,5,A,0
214.2,6,0,C,0
35.69,14,2,B,0
2307.23,10,2,C,1
279.02,10,5,A,0
361.93,9,5,A,0
27.77,4,2,B,0
554.45,18,4,A,0
94.24,12,5,C,0
913.33,14,1,A,0
91.84,8,5,A,0
84.63,7,2,D,0
14.89,18,0,A,0
255.51,10,6,C,0
332.82,1,6,B,0
27.19,13,1,D,0
597.6,11,2,A,0
241.53,16,5,C,0
297.26,9,4,B,0
232.47,11,0,B,0
204.84,6,6,A,0
328.07,10,2,B,0
67.48,17,2,B,0
80.32,4,4,A,0
791.58,3,0,C,0
1168.36,12,5,B,0
186.92,13,2,C,0
126.29,5,5,A,0
413.13,16,1,A,0
210.2,3,4,B,0
10.29,9,0,A,0
67.91,20,0,A,0
503.47,23,5,B,1
430.26,20,0,C,0
10.99,4,3,A,0
100.4,10,5,C,0
105.1,15,1,A,0
445.77,21,4,C,0
7.96,14,3,B,0
43.97,18,0,A,0
643.61,9,5,A,0
78.67,8,2,C,0
423.08,19,5,B,0
108.82,10,1,B,0
41.9,23,3,A,0
111.45,3,0,A,0
512.44,0,6,A,0
774.33,15,3,A,0
709.3,17,4,B,0
202.46,23,2,C,0
441.15,1,1,B,0
91.76,5,6,B,0
138.77,0,3,A,0
906.64,23,1,B,0
5.23,18,0,B,0
35.75,2,5,B,0
93.22,3,4,B,0
10.76,0,6,B,0
80.08,3,3,D,0
349.91,5,4,C,0
218.87,23,4,A,0
892.75,6,6,D,0
680.28,8,5,D,1
167.31,5,3,A,0
120.13,22,2,A,0
191.02,7,3,B,0
356.93,10,1,A,0
124.82,22,6,C,0
391.42,4,5,B,0
210.65,11,4,A,0
321.23,19,4,A,0
229.17,14,6,B,0
139.52,0,1,B,0
1186.11,20,6,B,0
576.9,1,6,A,0
60.38,22,6,A,0
811.4,17,2,B,0
267.33,5,1,B,0
899.82,6,1,C,0
643.49,22,0,B,0
221.5,22,1,A,0
9.09,23,4,A,0
125.16,5,5,C,0
312.04,11,4,C,0
401.48,17,2,A,0
119.3,19,0,D,0
60.03,21,4,B,0
720.55,17,4,B,0
1664.25,11,3,C,1
298.36,7,3,B,0
75.34,16,5,D,0
127.15,22,3,C,0
7.42,16,5,A,0
982.76,3,3,A,0
50.11,16,3,A,0
343.7,23,2,C,0
128.11,12,5,B,0
323.13,2,1,C,0
421.56,9,5,C,0
708.18,17,4,B,0
92.48,11,3,C,0
4.42,13,4,B,0
58.88,0,6,B,0
921.11,9,3,B,0
828.24,16,6,B,0
363.94,12,4,A,0
367.03,22,4,B,0
437.49,3,1,B,0
77.13,7,0,A,0
983.28,7,1,B,0
217.04,3,6,B,0
193.24,14,0,D,0
292.69,1,6,B,0
19.24,15,4,C,0
72.74,0,1,A,0
535.82,7,0,A,0
34.57,17,0,A,0
369.68,17,6,B,0
112.6,17,3,C,0
197.26,14,0,B,0
136.26,20,0,B,0
175.82,20,1,A,0
507.83,14,3,A,0
141.03,3,2,B,0
334.26,5,3,A,1
258.54,8,1,C,0
435.87,13,3,A,0
1104.77,4,6,B,1
527.56,5,1,D,0
96.8,14,4,B,0
12.67,0,3,B,0
121.67,4,1,C,0
361.62,5,2,A,0
21.12,15,5,A,0
274.36,0,3,A,0
363.37,6,6,C,0
162.73,3,5,D,0
589.46,21,5,B,0
45.09,15,6,B,0
31.24,12,6,A,0
521.06,20,0,B,0
273.67,13,4,B,0
466.42,11,6,C,0
228.25,3,1,C,0
113.16,10,4,B,0
683.93,20,2,D,1
642.61,18,5,D,1
474.58,8,6,A,0
127.06,16,0,B,0
356.86,8,4,A,0
179.12,14,3,B,0
38.42,4,4,D,0
997.08,6,3,A,0
58.85,9,4,B,0
1200.2,22,4,D,0
236.24,3,4,D,0
81.89,12,5,D,0
312.27,9,4,A,0
825.26,1,2,D,1
527.04,0,3,A,0
657.12,13,6,B,0
430.1,12,6,B,0
471.42,6,3,D,0
756.71,17,6,C,0
114.9,1,3,B,0
268.89,5,5,D,0
100.01,4,0,A,0
1758.22,4,4,A,1
1153.39,11,4,B,0
16.09,17,0,B,0
489.09,6,4,A,0
1037.43,11,5,B,0
79.66,13,5,A,0
335.68,23,5,A,0
988.35,0,6,D,1
13.81,19,6,A,0
478.16,9,4,A,0
141.16,13,2,C,0
1032.9,5,2,B,1
1416.99,0,2,A,0
1154.87,5,5,A,1
257.14,20,4,C,0
792.32,7,2,C,0
744.57,5,4,A,0
153.74,2,5,A,0
706.24,5,1,A,0
15.08,17,3,A,0
362.8,3,5,A,0
104.55,16,0,A,0
51.39,17,5,D,0
32.03,5,6,C,0
476.67,3,5,A,0
166.13,9,4,B,0
516.05,14,5,B,0
27.04,13,0,C,0
151.5,23,5,C,0
310.17,11,3,C,0
625.64,23,0,D,1
153.53,15,2,A,0
393.28,15,2,B,0
868.54,4,6,A,1
382.7,13,1,A,0
106.09,23,2,C,0
9.88,12,3,B,0
816.39,11,6,B,0
8.6,19,0,D,0
830.82,22,6,B,1
301.11,21,4,A,0
1119.2,12,1,B,0
641.35,20,5,C,0
2472.88,14,0,A,0
172.75,4,3,C,0
583.01,4,3,A,0
205.62,2,3,D,0
261.47,6,0,A,0
395.01,18,6,A,0
827.57,10,1,A,0
1656.16,14,1,A,1
584.88,4,1,A,0
216.35,8,4,B,1
218.83,5,5,A,0
535.13,8,2,C,0
109.13,14,3,A,0
46.83,22,6,A,0
175.17,19,5,A,0
135.44,21,3,B,0
140.57,20,4,A,0
106.42,5,5,A,0
17.2,22,3,A,0
7.21,21,5,B,0
1759.99,17,5,C,1
223.29,22,4,C,0
194.02,13,4,B,0
455.33,6,6,B,0
98.49,17,3,A,0
1197.98,0,1,B,1
617.36,5,2,A,0
37.47,18,2,C,0
216.23,11,6,B,0
845.18,4,3,C,0
1158.22,17,6,B,0
251.99,11,4,C,0
380.16,13,5,B,0
73.1,11,1,B,0
1891.78,3,6,D,1
105.42,4,0,A,0
1144.0,16,5,C,0
419.53,6,3,D,0
374.33,0,1,C,0
287.54,5,3,B,0
104.89,1,2,C,0
77.69,12,1,A,0
99.63,9,3,B,0
82.53,13,5,A,0
604.9,20,0,A,0
172.39,13,6,D,0
23.83,11,2,A,0
1390.83,8,3,B,0
860.93,6,1,C,0
1051.06,15,4,B,0
2112.02,4,1,C,1
76.41,6,2,C,0
201.83,23,5,B,0
567.92,7,1,B,0
476.32,7,2,A,0
66.85,6,4,A,0
676.77,2,0,C,0
101.67,15,6,A,0
101.35,19,2,A,0
307.99,22,5,D,0
359.52,13,2,D,0
347.08,16,2,B,0
38.38,20,3,C,0
839.73,23,3,A,0
123.48,0,1,B,0
55.48,13,5,A,0
878.38,18,0,A,0
1246.27,8,4,B,0
792.57,13,4,D,0
663.27,1,0,A,0
425.97,2,3,B,0
320.17,5,6,A,0
36.4,6,4,C,0
210.01,19,6,A,0
186.52,4,4,C,0
120.31,10,1,A,0
514.1,1,2,C,0
273.97,17,6,A,0
33.81,12,3,A,0
99.48,19,1,A,0
459.87,16,5,A,0
31.67,15,3,B,0
762.08,15,4,A,0
273.39,14,6,A,0
262.02,1,1,B,0
359.0,18,6,A,0
696.46,7,3,A,0
170.97,8,4,A,0
453.3,23,4,A,0
333.64,3,4,B,0
124.26,9,5,A,0
843.56,21,6,A,0
638.66,17,1,A,0
429.71,9,3,D,0
760.4,21,4,A,0
807.85,19,2,D,0
492.9,10,4,A,0
725.63,0,4,C,0
478.23,10,3,C,0
455.95,16,5,B,0
